,Index,total_cases_cumulative
0,0,25511
1,1,26139
2,2,26783
3,3,27379
4,4,28022
5,5,28429
6,6,28753
7,7,29343
8,8,29879
9,9,30552
10,10,31071
11,11,31574
12,12,31958
13,13,32396
14,14,32777
15,15,33418
16,16,33942
17,17,34455
18,18,35719
19,19,36238
20,20,36670
21,21,37102
22,22,37591
23,23,37934
24,24,38366
25,25,38674
26,26,39082
27,27,39438
28,28,39770
29,29,40091
30,30,40746
31,31,41031
32,32,41339
33,33,41586
34,34,41813
35,35,42031
36,36,42242
37,37,42532
38,38,42747
39,39,42968
40,40,43201
41,41,43416
42,42,43626
43,43,43768
44,44,43954
45,45,44189
46,46,44372
47,47,44544
48,48,44747
49,49,45065
50,50,45209
51,51,45389
52,52,45498
53,53,45605
54,54,45761
55,55,45845
56,56,45903
57,57,46028
58,58,46182
59,59,46344
60,60,46480
61,61,46632
62,62,46748
63,63,46826
64,64,46901
65,65,47068
66,66,47193
67,67,47341
68,68,47491
69,69,47689
70,70,47804
71,71,47963
72,72,48124
73,73,48241
74,74,48365
75,75,48459
76,76,48574
77,77,48686
78,78,48776
79,79,48935
80,80,49036
81,81,49131
82,82,49235
83,83,49305
84,84,49362
85,85,49474
86,86,49566
87,87,49657
88,88,49745
89,89,49849
90,90,49976
91,91,50064
92,92,50143
93,93,50239
94,94,50364
95,95,50454
96,96,50534
97,97,50595
98,98,50667
99,99,50772
100,100,50884
101,101,50981
102,102,51066
103,103,51135
104,104,51230
105,105,51295
106,106,51335
107,107,51415
108,108,51507
109,109,51626
110,110,51709
111,111,51790
112,112,51856
113,113,51891
114,114,51983
115,115,52079
116,116,52182
117,117,52262
118,118,52345
119,119,52405
120,120,52458
121,121,52570
122,122,52657
123,123,52712
124,124,52782
125,125,52867
126,126,52920
127,127,52977
128,128,53047
129,129,53100
130,130,53185
131,131,53263
132,132,53356
133,133,53409
134,134,53469
135,135,53575
136,136,53638
137,137,53717
138,138,53773
139,139,53838
140,140,53880
141,141,53937
142,142,53996
143,143,54068
144,144,54113
145,145,54152
146,146,54193
147,147,54235
148,148,54275
149,149,54323
150,150,54369
151,151,54421
152,152,54466
153,153,54523
154,154,54562
155,155,54591
156,156,54648
157,157,54700
158,158,54771
159,159,54871
160,160,54932
161,161,54986
162,162,55026
163,163,55073
164,164,55143
165,165,55212
166,166,55291
167,167,55361
168,168,55409
169,169,55463
170,170,55538
171,171,55607
172,172,55676
173,173,55758
174,174,55851
175,175,55917
176,176,56006
177,177,56100
178,178,56173
179,179,56271
180,180,56371
181,181,56525
182,182,56623
183,183,56708
184,184,56841
185,185,56981
186,186,57170
187,187,57283
188,188,57453
189,189,57584
190,190,57712
191,191,57839
192,192,58039
193,193,58304
194,194,58584
195,195,58803
196,196,59068
197,197,59315
198,198,59702
199,199,60229
200,200,60811
201,201,61239
202,202,61779
203,203,62304
204,204,62780
205,205,63342
206,206,63815
207,207,64572
208,208,65499
209,209,66261
210,210,67212
211,211,68152
212,212,69312
213,213,70814
214,214,72224
215,215,73644
216,216,75184
217,217,77477
218,218,79798
219,219,81908
220,220,85009
221,221,88028
222,222,91052
223,223,93355
224,224,95385
225,225,98088
226,226,100902
227,227,104398
228,228,108267
229,229,112462
230,230,116213
231,231,118846
232,232,121650
233,233,134542
234,234,135856
235,235,137418
236,236,138776
237,237,139985
238,238,146460
239,239,154419
240,240,155064
241,241,159393
242,242,161153
243,243,162048
244,244,162468
245,245,163612
246,246,163927
247,247,164229
248,248,164436
249,249,165426
250,250,165648
251,251,165883
252,252,166098
253,253,166236
254,254,166449
255,255,166689
256,256,167103
257,257,167272
258,258,167436
259,259,167566
260,260,167823
261,261,168015
262,262,168430
263,263,168585
264,264,168716
265,265,168824
266,266,169215
267,267,169341
268,268,169461
269,269,169620
270,270,169839
271,271,169971
272,272,170102
273,273,170199
274,274,170272
275,275,170416
276,276,170491
277,277,170581
278,278,170729
279,279,170810
280,280,170900
281,281,171052
282,282,171146
283,283,171205
284,284,171295
285,285,171396
286,286,171608
287,287,171705
288,288,171814
289,289,171883
290,290,171944
291,291,172085
292,292,172188
293,293,172276
294,294,172343
295,295,172431
296,296,172506
297,297,172568
298,298,172683
299,299,172846
300,300,173088
301,301,173164
302,302,173221
303,303,173357
304,304,173434
305,305,173526
306,306,173606
307,307,173717
308,308,173791
309,309,173850
310,310,173955
311,311,174050
312,312,174146
313,313,174250
314,314,174347
315,315,174419
316,316,174486
317,317,174560
318,318,174646
319,319,174725
320,320,174770
321,321,174799
322,322,174837
323,323,174891
324,324,175000
325,325,175088
326,326,175183
327,327,175291
328,328,175414
329,329,175498
330,330,175583
331,331,175690
332,332,175792
333,333,175872
334,334,175956
335,335,176021
336,336,176095
337,337,176145
338,338,176235
339,339,176318
340,340,176431
341,341,176515
342,342,176594
343,343,34900
344,344,35328
345,345,176767
346,346,176864
347,347,176924
348,348,176980
349,349,177040
350,350,177113
351,351,177148
352,352,177228
353,353,177288
354,354,177356
355,355,177462
356,356,177522
357,357,177579
358,358,177659
359,359,177706
360,360,177765
361,361,177819
362,362,177852
363,363,177886
364,364,177915
365,365,177946
366,366,177969
367,367,178016
368,368,178063
369,369,178085
370,370,178108
371,371,178121
372,372,178166
373,373,178204
374,374,178245
375,375,178260
376,376,178281
377,377,178342
378,378,178367
379,379,178399
380,380,178422
381,381,178445
382,382,178467
383,383,178485
384,384,178510
385,385,178533
386,386,178569
387,387,178594
388,388,178614
389,389,178645
390,390,178677
391,391,178709
392,392,178731
393,393,178765
394,394,178799
395,395,178839
396,396,178866
397,397,178890
398,398,178928
399,399,178990
400,400,179046
401,401,179088
402,402,179125
403,403,179174
404,404,179209
405,405,179242
406,406,179307
407,407,179375
408,408,179419
409,409,179454
410,410,179469
411,411,179513
412,412,179565
413,413,179601
414,414,179651
415,415,179694
416,416,179769
417,417,179801
418,418,179844
419,419,179898
420,420,179965
421,421,180025
422,422,180050
423,423,180117
424,424,180229
425,425,180399
426,426,180660
427,427,180872
428,428,181182
429,429,182201
